option_code,underlying_code,trade_date,call_put,strike,expiry,contract_multiplier,close,settle,volume,open_interest,delta,implied_vol,adjusted_contract_flag,exchange_code,terms_source,first_trade_date,last_trade_date,exercise_end,static_strike,static_multiplier,static_exchange_code,mapping_source,mapping_code_check,standard_strike_check,open,high,low,price_merge,gamma,theta,vega,rho,implied_vol_primary,delta_wind,gamma_wind,theta_wind,vega_wind,rho_wind,underlying_raw_close,calendar_DTE,moneyness,greeks_source,implied_vol_source,greeks_units,implied_vol_units
10009493.SH,510050.SH,20250715,C,3.1,20250723,10000.0,0.0012,0.0012,26604.0,66490.0,0.026,0.2681,False,510050C2507M03100,chinaoptiondescription,20250626,20250723,20250723,3.1,10000.0,510050C2507M03100,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.002,0.002,0.0008,both,0.507,-0.165,0.025,0.002,,0.0267,0.5128,-0.0006,0.0003,0.0,2.855,8,1.085814360770578,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009599.SH,510050.SH,20250715,C,2.6,20250827,10000.0,0.2601,0.2616,342.0,1766.0,1.0,0.1522,False,510050C2508M02600,chinaoptiondescription,20250630,20250827,20250827,2.6,10000.0,510050C2508M02600,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.2778,0.282,0.2462,both,0.0,-0.076,0.0,0.305,,0.9597,0.5374,-0.0002,0.0009,-0.0003,2.855,43,0.9106830122591945,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009509.SH,510050.SH,20250715,C,2.65,20250827,10000.0,0.2122,0.2129,218.0,1350.0,1.0,0.1434,False,510050C2508M02650,chinaoptiondescription,20250626,20250827,20250827,2.65,10000.0,510050C2508M02650,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.2333,0.2333,0.1185,both,0.0,-0.077,0.0,0.311,,0.9317,0.8808,-0.0003,0.0013,-0.0003,2.855,43,0.9281961471103327,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009510.SH,510050.SH,20250715,C,2.7,20250827,10000.0,0.1658,0.1658,416.0,1251.0,0.967,0.1363,False,510050C2508M02700,chinaoptiondescription,20250626,20250827,20250827,2.7,10000.0,510050C2508M02700,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.1806,0.1868,0.1549,both,0.799,-0.105,0.073,0.306,,0.8819,1.4057,-0.0004,0.002,-0.0002,2.855,43,0.9457092819614712,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009511.SH,510050.SH,20250715,C,2.75,20250827,10000.0,0.1244,0.1244,2020.0,2825.0,0.846,0.1369,False,510050C2508M02750,chinaoptiondescription,20250626,20250827,20250827,2.75,10000.0,510050C2508M02750,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.1375,0.143,0.114,both,2.029,-0.185,0.232,0.27,,0.7896,2.0524,-0.0006,0.0029,-0.0002,2.855,43,0.9632224168126094,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009512.SH,510050.SH,20250715,C,2.8,20250827,10000.0,0.0879,0.0879,10228.0,7865.0,0.71,0.1339,False,510050C2508M02800,chinaoptiondescription,20250626,20250827,20250827,2.8,10000.0,510050C2508M02800,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.1009,0.1058,0.079,both,2.783,-0.235,0.336,0.228,,0.6742,2.6271,-0.0008,0.0037,-0.0001,2.855,43,0.9807355516637477,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009513.SH,510050.SH,20250715,C,2.85,20250827,10000.0,0.0581,0.0581,22879.0,18113.0,0.556,0.1328,False,510050C2508M02850,chinaoptiondescription,20250626,20250827,20250827,2.85,10000.0,510050C2508M02850,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.0696,0.0742,0.0522,both,3.151,-0.255,0.387,0.18,,0.5327,2.9272,-0.0009,0.0041,-0.0001,2.855,43,0.9982486865148862,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009514.SH,510050.SH,20250715,C,2.9,20250827,10000.0,0.0373,0.0373,26294.0,26054.0,0.404,0.1362,False,510050C2508M02900,chinaoptiondescription,20250626,20250827,20250827,2.9,10000.0,510050C2508M02900,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.0459,0.0506,0.0336,both,2.956,-0.248,0.38,0.132,,0.3908,2.7575,-0.0009,0.0039,0.0,2.855,43,1.0157618213660244,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009515.SH,510050.SH,20250715,C,2.95,20250827,10000.0,0.024,0.0242,11101.0,18769.0,0.283,0.1423,False,510050C2508M02950,chinaoptiondescription,20250626,20250827,20250827,2.95,10000.0,510050C2508M02950,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.031,0.0343,0.0216,both,2.423,-0.223,0.331,0.092,,0.2752,2.2951,-0.0008,0.0034,0.0,2.855,43,1.033274956217163,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009516.SH,510050.SH,20250715,C,3.0,20250827,10000.0,0.0159,0.0159,18266.0,22978.0,0.194,0.1508,False,510050C2508M03000,chinaoptiondescription,20250626,20250827,20250827,3.0,10000.0,510050C2508M03000,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.0224,0.0238,0.0141,both,1.857,-0.189,0.269,0.063,,0.1918,1.7703,-0.0007,0.0028,0.0,2.855,43,1.0507880910683012,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009517.SH,510050.SH,20250715,C,3.1,20250827,10000.0,0.0072,0.0072,21612.0,30900.0,0.092,0.1679,False,510050C2508M03100,chinaoptiondescription,20250626,20250827,20250827,3.1,10000.0,510050C2508M03100,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.0106,0.0124,0.0066,both,0.996,-0.124,0.162,0.03,,0.0924,0.9654,-0.0005,0.0017,0.0,2.855,43,1.085814360770578,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009163.SH,510050.SH,20250715,C,2.35,20250924,10000.0,0.5075,0.5075,241.0,1386.0,1.0,0.2292,False,510050C2509M02350,chinaoptiondescription,20250408,20250924,20250924,2.35,10000.0,510050C2509M02350,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.5225,0.5268,0.4919,both,0.0,-0.068,0.0,0.455,,0.969,0.2148,-0.0002,0.0008,-0.0011,2.855,71,0.8231173380035026,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10008793.SH,510050.SH,20250715,C,2.4,20250924,10000.0,0.4575,0.4575,137.0,2263.0,1.0,0.202,False,510050C2509M02400,chinaoptiondescription,20250123,20250924,20250924,2.4,10000.0,510050C2509M02400,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.478,0.478,0.4432,both,0.0,-0.07,0.0,0.464,,0.9701,0.2356,-0.0001,0.0008,-0.001,2.855,71,0.840630472854641,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10008794.SH,510050.SH,20250715,C,2.45,20250924,10000.0,0.4074,0.4094,50.0,1127.0,1.0,0.1993,False,510050C2509M02450,chinaoptiondescription,20250123,20250924,20250924,2.45,10000.0,510050C2509M02450,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.421,0.421,0.3944,both,0.0,-0.071,0.0,0.474,,0.9539,0.3511,-0.0002,0.0012,-0.0009,2.855,71,0.8581436077057794,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10008795.SH,510050.SH,20250715,C,2.5,20250924,10000.0,0.3656,0.3609,39.0,941.0,1.0,0.1875,False,510050C2509M02500,chinaoptiondescription,20250123,20250924,20250924,2.5,10000.0,510050C2509M02500,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.3771,0.3771,0.3485,both,0.0,-0.073,0.0,0.484,,0.9437,0.4417,-0.0002,0.0014,-0.0008,2.855,71,0.8756567425569177,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10008796.SH,510050.SH,20250715,C,2.55,20250924,10000.0,0.316,0.3135,58.0,1261.0,1.0,0.1826,False,510050C2509M02550,chinaoptiondescription,20250123,20250924,20250924,2.55,10000.0,510050C2509M02550,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.3248,0.3248,0.2998,both,0.0,-0.074,0.0,0.493,,0.9171,0.621,-0.0003,0.0019,-0.0007,2.855,71,0.893169877408056,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10008797.SH,510050.SH,20250715,C,2.6,20250924,10000.0,0.2691,0.2672,150.0,2379.0,1.0,0.1674,False,510050C2509M02600,chinaoptiondescription,20250123,20250924,20250924,2.6,10000.0,510050C2509M02600,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.2854,0.2854,0.2526,both,0.0,-0.076,0.0,0.503,,0.8963,0.8037,-0.0004,0.0023,-0.0006,2.855,71,0.9106830122591945,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10008798.SH,510050.SH,20250715,C,2.65,20250924,10000.0,0.2241,0.2214,131.0,2119.0,0.976,0.1571,False,510050C2509M02650,chinaoptiondescription,20250123,20250924,20250924,2.65,10000.0,510050C2509M02650,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.2377,0.2399,0.2075,both,0.486,-0.092,0.072,0.499,,0.8607,1.0605,-0.0004,0.0029,-0.0005,2.855,71,0.9281961471103327,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10008799.SH,510050.SH,20250715,C,2.7,20250924,10000.0,0.1752,0.1752,438.0,5269.0,0.922,0.1427,False,510050C2509M02700,chinaoptiondescription,20250123,20250924,20250924,2.7,10000.0,510050C2509M02700,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.19,0.1976,0.1668,both,1.16,-0.119,0.184,0.478,,0.8116,1.4307,-0.0005,0.0035,-0.0004,2.855,71,0.9457092819614712,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10008800.SH,510050.SH,20250715,C,2.75,20250924,10000.0,0.14,0.1391,1619.0,4430.0,0.796,0.1477,False,510050C2509M02750,chinaoptiondescription,20250123,20250924,20250924,2.75,10000.0,510050C2509M02750,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.1532,0.1565,0.1294,both,1.841,-0.174,0.357,0.415,,0.7217,1.7245,-0.0006,0.0044,-0.0003,2.855,71,0.9632224168126094,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10008801.SH,510050.SH,20250715,C,2.8,20250924,10000.0,0.1072,0.108,5113.0,7362.0,0.676,0.1468,False,510050C2509M02800,chinaoptiondescription,20250123,20250924,20250924,2.8,10000.0,510050C2509M02800,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.119,0.1226,0.098,both,2.142,-0.208,0.452,0.355,,0.6279,1.9599,-0.0007,0.0049,-0.0002,2.855,71,0.9807355516637477,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10008885.SH,510050.SH,20250715,C,2.85,20250924,10000.0,0.0796,0.0796,8723.0,7900.0,0.561,0.1469,False,510050C2509M02850,chinaoptiondescription,20250127,20250924,20250924,2.85,10000.0,510050C2509M02850,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.0916,0.0944,0.0728,both,2.307,-0.218,0.496,0.296,,0.5252,2.0647,-0.0007,0.0052,-0.0002,2.855,71,0.9982486865148862,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10008895.SH,510050.SH,20250715,C,2.9,20250924,10000.0,0.058,0.058,5508.0,17755.0,0.448,0.1486,False,510050C2509M02900,chinaoptiondescription,20250211,20250924,20250924,2.9,10000.0,510050C2509M02900,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.0677,0.0715,0.0538,both,2.243,-0.215,0.498,0.238,,0.4235,2.0087,-0.0007,0.0051,-0.0001,2.855,71,1.0157618213660244,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10008905.SH,510050.SH,20250715,C,2.95,20250924,10000.0,0.0431,0.0427,36284.0,21862.0,0.35,0.1539,False,510050C2509M02950,chinaoptiondescription,20250224,20250924,20250924,2.95,10000.0,510050C2509M02950,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.0515,0.0541,0.0399,both,2.001,-0.204,0.467,0.186,,0.3355,1.807,-0.0007,0.0048,-0.0001,2.855,71,1.033274956217163,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009039.SH,510050.SH,20250715,C,3.0,20250924,10000.0,0.032,0.032,51177.0,27451.0,0.272,0.1598,False,510050C2509M03000,chinaoptiondescription,20250317,20250924,20250924,3.0,10000.0,510050C2509M03000,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.039,0.0415,0.0301,both,1.7,-0.188,0.418,0.145,,0.262,1.5554,-0.0007,0.0043,-0.0001,2.855,71,1.0507880910683012,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009495.SH,510050.SH,20250715,C,3.1,20250924,10000.0,0.0196,0.0196,46817.0,10881.0,0.169,0.1769,False,510050C2509M03100,chinaoptiondescription,20250626,20250924,20250924,3.1,10000.0,510050C2509M03100,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.0234,0.0253,0.0179,both,1.148,-0.156,0.317,0.09,,0.1654,1.073,-0.0006,0.0032,0.0,2.855,71,1.085814360770578,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009217.SH,510050.SH,20250715,C,2.5,20251224,10000.0,0.384,0.3815,76.0,1088.0,1.0,0.1682,False,510050C2512M02500,coptiondescriptionchange.OLD,20250424,20251224,20251224,2.435,10265.0,510050C2512A02500,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.393,0.396,0.3688,both,0.0,-0.072,0.0,1.095,,0.8935,0.5404,-0.0002,0.0034,-0.0017,2.855,162,0.8756567425569177,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009218.SH,510050.SH,20250715,C,2.55,20251224,10000.0,0.3365,0.3386,4.0,180.0,0.996,0.1679,False,510050C2512M02550,coptiondescriptionchange.OLD,20250424,20251224,20251224,2.484,10265.0,510050C2512A02550,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.3375,0.3375,0.3275,both,0.086,-0.075,0.022,1.112,,0.8556,0.6794,-0.0003,0.0042,-0.0015,2.855,162,0.893169877408056,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009219.SH,510050.SH,20250715,C,2.6,20251224,10000.0,0.295,0.297,28.0,576.0,0.923,0.158,False,510050C2512M02600,coptiondescriptionchange.OLD,20250424,20251224,20251224,2.533,10265.0,510050C2512A02600,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.3105,0.3105,0.2848,both,0.659,-0.104,0.275,1.038,,0.8312,0.8045,-0.0003,0.0047,-0.0013,2.855,162,0.9106830122591945,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009220.SH,510050.SH,20250715,C,2.65,20251224,10000.0,0.259,0.2576,40.0,951.0,0.861,0.1632,False,510050C2512M02650,coptiondescriptionchange.OLD,20250424,20251224,20251224,2.582,10265.0,510050C2512A02650,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.2592,0.2595,0.2454,both,0.925,-0.124,0.422,0.977,,0.7767,0.9295,-0.0004,0.0057,-0.0012,2.855,162,0.9281961471103327,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009221.SH,510050.SH,20250715,C,2.7,20251224,10000.0,0.223,0.2198,180.0,3486.0,0.798,0.1609,False,510050C2512M02700,coptiondescriptionchange.OLD,20250424,20251224,20251224,2.63,10265.0,510050C2512A02700,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.2317,0.2317,0.2087,both,1.135,-0.139,0.535,0.914,,0.7279,1.052,-0.0004,0.0063,-0.001,2.855,162,0.9457092819614712,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009222.SH,510050.SH,20250715,C,2.75,20251224,10000.0,0.1878,0.1863,118.0,2424.0,0.728,0.1585,False,510050C2512M02750,coptiondescriptionchange.OLD,20250424,20251224,20251224,2.679,10265.0,510050C2512A02750,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.198,0.1996,0.1778,both,1.293,-0.151,0.631,0.84,,0.6708,1.1683,-0.0005,0.0069,-0.0009,2.855,162,0.9632224168126094,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009223.SH,510050.SH,20250715,C,2.8,20251224,10000.0,0.1588,0.158,307.0,2612.0,0.653,0.1581,False,510050C2512M02800,coptiondescriptionchange.OLD,20250424,20251224,20251224,2.728,10265.0,510050C2512A02800,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.1681,0.1696,0.1483,both,1.377,-0.162,0.703,0.757,,0.6111,1.2432,-0.0005,0.0073,-0.0007,2.855,162,0.9807355516637477,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
